AuthorID,Author,Date,Content,Attachments,Reactions
857245714785501214,ayysaph,2024-04-17T15:19:48.5950000+01:00,nice to see a fellow Davinci user!,,
857245714785501214,ayysaph,2024-04-17T15:19:54.9960000+01:00,also that's a nice room back there,,
239555636076085249,woof01,2024-04-17T15:21:31.3810000+01:00,we have the same laptop 🤝,,"😊 (1),🔥 (1)"
977582077400735784,draiydsnl,2024-04-17T15:21:40.3500000+01:00,"i have to do an internship for 2 weeks for school, i have my own place at a company that makes apps",,💪🏼 (1)
977582077400735784,draiydsnl,2024-04-17T15:21:46.8480000+01:00,gg,,
977582077400735784,draiydsnl,2024-04-17T15:21:55.4820000+01:00,msi is a good one,,
977582077400735784,draiydsnl,2024-04-17T15:25:41.2910000+01:00,a few months ago i did a multicam production with 5 cameras,,
977582077400735784,draiydsnl,2024-04-17T15:26:03.1230000+01:00,yessir!,,🤝 (1)
977582077400735784,draiydsnl,2024-04-17T15:26:46.4210000+01:00,premiere is kinda hard to use ngl,,"💯 (2),😂 (2)"
239555636076085249,woof01,2024-04-17T15:27:46.6150000+01:00,"if you ever want to edit freelance, i'd recommend learning it though",,
977582077400735784,draiydsnl,2024-04-17T15:28:08.6100000+01:00,i still need to practice color grading on davinci,,
977582077400735784,draiydsnl,2024-04-17T15:28:15.1950000+01:00,yeah maybe,,
977582077400735784,draiydsnl,2024-04-17T15:28:29.9780000+01:00,im not gonna pay for premiere rn,,
977582077400735784,draiydsnl,2024-04-17T15:28:40.5640000+01:00,maybe in the future,,
977582077400735784,draiydsnl,2024-04-17T15:29:34.3510000+01:00,btw its a jvc gy hm70e,,
977582077400735784,draiydsnl,2024-04-17T15:29:40.2290000+01:00,if you wanna know,,
977582077400735784,draiydsnl,2024-04-17T15:31:26.3740000+01:00,HAHAHA NICE ONE DUDE LMAOO,,❤️ (1)
413494385351852033,sethcopela,2024-04-17T20:50:41.7630000+01:00,I love these old school cameras,,
413494385351852033,sethcopela,2024-04-17T20:50:44.5010000+01:00,used to use one,,
413494385351852033,sethcopela,2024-04-17T20:51:13.4650000+01:00,"have you done any of the resolve courses?
 I would highly recommend it",,
413494385351852033,sethcopela,2024-04-17T20:51:22.7850000+01:00,https://discord.com/channels/839672543140904971/839680814002077696/1203498519235924038,,
